# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     68     55      -    78      3      0     10   7000   1950      0      0      1      3      0      0 
    0     68     55      -    50      2      0      6   7000   1950      0      0      1      3     84     81 
    0     70     55      -     1      0      0      1   6801   1950      0      0   1582     24   5551   1020 
    0     68     55      -    57      2      0      6   6801   1950      0      0   1582     24   5568   1115 
    0     69     55      -    78      2      0      9   6801   1950      0      0   1582     24   4844   1249 
    0     70     55      -    79      3      0      9   6801   1950      0      0   1582     24   4882   1240 
    0     69     55      -    79      2      0      9   6801   1950      0      0   1582     24   5428   1028 
    0     69     55      -    79      2      0      9   6801   1950      0      0   1582     24   4968   1261 
    0     70     55      -    79      2      0      9   6801   1950      0      0   1582     24   5703   1226 
    0     70     55      -    78      2      0      9   6801   1950      0      0   1582     24   4854    706 
    0     69     55      -    78      2      0      9   6801   1950      0      0   1582     24   5647   1196 
    0     70     55      -    78      2      0      9   6801   1950      0      0   1582     24   5275    934 
    0     70     55      -    78      2      0      9   6801   1950      0      0   1582     24   5181    846 
    0     68     55      -    78      2      0      9   6801   1950      0      0   1582     24   4845   1235 
    0     71     55      -    78      2      0      9   6801   1950      0      0   1582     24   5719   1269 
    0     70     55      -    79      3      0      9   6801   1950      0      0   1582     24   4971   1255 
    0     69     55      -    79      3      0      9   6801   1950      0      0   1582     24   4880   1236 
    0     70     55      -    78      2      0      9   6801   1950      0      0   1582     24   4826   1241 
    0     70     55      -    78      2      0      9   6801   1950      0      0   1582     24   4983   1245 
    0     69     55      -    78      2      0      9   6801   1950      0      0   1582     24   5208    816 
    0     68     55      -    79      3      0      9   6801   1950      0      0   1582     24   4852   1247 
    0     70     55      -    80      3      0      9   6801   1950      0      0   1582     24   5650   1257 
    0     69     55      -    79      2      0      9   6801   1950      0      0   1582     24   4763   1253 
    0     70     55      -    79      2      0      9   6801   1950      0      0   1582     24   5478    937 
    0     69     55      -    79      3      0      9   6801   1950      0      0   1582     24   4903   1241 
    0     70     55      -    79      3      0      9   6801   1950      0      0   1582     24   5532    965 
    0     70     55      -    78      2      0      9   6801   1950      0      0   1582     24   5710   1237 
    0     68     55      -    78      2      0      9   6801   1950      0      0   1582     24   4776   1239 
    0     69     55      -    78      2      0      9   6801   1950      0      0   1582     24   5136   1249 
    0     70     55      -    79      2      0      9   6801   1950      0      0   1582     24   4905   1053 
    0     70     55      -    79      2      0      9   6801   1950      0      0   1582     24   4865   1244 
    0     68     55      -    79      2      0      9   6801   1950      0      0   1582     24   5756   1264 
    0     70     55      -    79      3      0      9   6801   1950      0      0   1582     24   4787   1237 
    0     70     55      -    79      2      0      9   6801   1950      0      0   1582     24   4795    759 
    0     68     55      -    79      3      0      9   6801   1950      0      0   1582     24   5107    756 
    0     68     55      -    78      2      0      9   6801   1950      0      0   1582     24   4783   1238 
    0     71     55      -    79      2      0      9   6801   1950      0      0   1582     24   5078   1240 
    0     69     55      -    79      3      0      9   6801   1950      0      0   1582     24   4792   1248 
    0     68     55      -    78      2      0      9   6801   1950      0      0   1582     24   4894   1068 
    0     69     55      -    77      2      0      9   6801   1950      0      0   1582     24   5620   1248 
    0     69     55      -    78      2      0      9   6801   1950      0      0   1582     24   4990   1230 
    0     68     55      -    79      3      0      9   6801   1950      0      0   1582     24   4828   1245 
    0     69     55      -    78      2      0      9   6801   1950      0      0   1582     24   4852   1235 
    0     69     54      -    78      2      0      9   6801   1950      0      0   1582     24   4882   1242 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     68     54      -    80      3      0      9   6801   1950      0      0   1582     24   4977   1269 
    0     68     54      -    80      3      0      9   6801   1950      0      0   1582     24   5013   1261 
    0     70     54      -    77      2      0      9   6801   1950      0      0   1582     24   4799   1234 
    0     68     54      -    79      2      0      9   6801   1950      0      0   1582     24   5482   1009 
    0     68     54      -    79      2      0      9   6801   1950      0      0   1582     24   4952   1182 
    0     70     54      -    78      2      0      9   6801   1950      0      0   1582     24   3893   1248 
    0     68     54      -    79      2      0      9   6801   1950      0      0   1582     24   5168   1263 
    0     68     54      -    79      2      0      9   6801   1950      0      0   1582     24   4818    874 
    0     70     54      -    79      2      0      9   6801   1950      0      0   1582     24   4947   1236 
    0     68     54      -    79      3      0      9   6801   1950      0      0   1582     24   5598   1235 
    0     68     54      -    78      2      0      9   6801   1950      0      0   1582     24   5678   1238 
    0     68     54      -    79      2      0      9   6801   1950      0      0   1582     24   5029   1241 
    0     70     54      -    79      2      0      9   6801   1950      0      0   1582     24   4993   1238 
    0     68     54      -    79      3      0      9   6801   1950      0      0   1582     24   4951   1238 
    0     68     54      -    78      2      0      9   6801   1950      0      0   1582     24   4370   1248 
    0     69     54      -    79      2      0      9   6801   1950      0      0   1582     24   5552   1026 
    0     68     54      -    78      2      0      9   6801   1950      0      0   1582     24   4890   1253 
    0     68     54      -    78      2      0      9   6801   1950      0      0   1582     24   4806   1275 
    0     69     54      -    78      2      0      9   6801   1950      0      0   1582     24   4924   1264 
    0     70     54      -    78      2      0      9   6801   1950      0      0   1582     24   4809   1251 
    0     68     54      -    79      2      0      9   6801   1950      0      0   1582     24   4982    651 
    0     68     54      -    79      3      0      9   6801   1950      0      0   1582     24   4901   1248 
    0     68     54      -    79      2      0      9   6801   1950      0      0   1582     24   4907   1246 
    0     70     54      -    79      2      0      9   6801   1950      0      0   1582     24   4893   1261 
    0     68     54      -    78      2      0      9   6801   1950      0      0   1582     24   4841   1250 
    0     68     54      -    79      3      0      9   6801   1950      0      0   1582     24   4890   1175 
    0     70     54      -    79      2      0      9   6801   1950      0      0   1582     24   4919   1270 
