
#Trial: 0 for _gpu_2_16_6
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     70     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     72     53      -    34      4      0     38   6801   1950      0      0    430      6     27   3004 
    0     73     53      -    16      2      0     18   6801   1950      0      0    430      6     26   3039 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     30   3242 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3309 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3309 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3225 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     30   3185 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     32   3406 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     31   3352 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     30   3094 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     29   3301 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     31   2967 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     32   3421 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     43   3090 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     44   3306 

#Trial: 1 for _gpu_2_16_6
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     71     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     53      -    21      3      0     23   6801   1950      0      0    430      6     51   2976 
    0     72     53      -    29      4      0     33   6801   1950      0      0    430      6     54   3015 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     53   3194 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     46   2739 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     31   2801 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     28   2861 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     27   2966 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3310 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     25   3105 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3069 
    0     72     53      -    45      5      0     50   6801   1950      0      0    430      6     31   3356 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     27   2996 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3309 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     29   3008 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     30   3297 

#Trial: 2 for _gpu_2_16_6
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     70     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     72     53      -     8      1      0      8   6801   1950      0      0    430      6     35   3397 
    0     72     53      -    42      5      0     48   6801   1950      0      0    430      6     51   3309 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     53   3191 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     48   3307 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     28   2910 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     27   2751 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3261 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     27   3041 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     27   3027 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     30   3421 
    0     72     53      -    45      5      0     50   6801   1950      0      0    430      6     26   2971 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     27   3378 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3068 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     29   3306 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     29   3191 

#Trial: 3 for _gpu_2_16_6
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     70     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     53      -    11      1      0     13   6801   1950      0      0    430      6     26   3038 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     27   3030 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3266 
    0     72     53      -    45      5      0     50   6801   1950      0      0    430      6     28   3063 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     50   2970 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     50   3160 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     30   2922 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     29   2740 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     29   2896 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     31   3326 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     25   2971 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     26   3275 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     29   3193 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     27   2982 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3301 

#Trial: 4 for _gpu_2_16_6
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     69     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     53      -    25      3      0     28   6801   1950      0      0    430      6     24   3193 
    0     72     53      -    25      3      0     29   6801   1950      0      0    430      6     27   3113 
    0     72     53      -    45      5      0     50   6801   1950      0      0    430      6     27   3053 
    0     72     53      -    44      5      0     50   6801   1950      0      0    430      6     27   3396 
    0     73     53      -    44      5      0     50   6801   1950      0      0    430      6     27   3364 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     30   2996 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     51   2984 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     56   3234 
