
#Trial: 0 for _gpu_1_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    78      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     54      -    43      3      0     24   6801   1950      0      0    430      6     24   2802 
    0     72     54      -    22      2      0     14   6801   1950      0      0    430      6     24   2546 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     48   2611 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     28   2650 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2564 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2622 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2622 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2597 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2622 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     26   2625 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     25   2595 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2611 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     25   2611 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2515 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     45   2622 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     32   2681 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2679 

#Trial: 1 for _gpu_1_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    78      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     53      -    21      1      0     12   6801   1950      0      0    430      6     24   2771 
    0     73     54      -    44      3      0     26   6801   1950      0      0    430      6     56   2879 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2885 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2850 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2815 
    0     72     54      -    77      5      0     44   6801   1950      0      0    430      6     25   2623 
    0     72     54      -    77      5      0     44   6801   1950      0      0    430      6     23   2862 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     22   2775 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     47   2878 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     26   2853 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     22   2885 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2874 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2870 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2750 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     49   2827 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     22   2868 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     22   2856 

#Trial: 2 for _gpu_1_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     73     54      -    78      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     53      -     1      0      0      0   6801   1950      0      0    430      6     29   2974 
    0     72     54      -    65      4      0     38   6801   1950      0      0    430      6     24   2891 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     24   2891 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     26   2862 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     47   2886 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     25   2827 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2884 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2823 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     24   2802 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     55   2866 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2750 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     27   2619 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     23   2633 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     25   2536 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     25   2625 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     26   2622 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2626 

#Trial: 3 for _gpu_1_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    78      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     54      -    53      3      0     30   6801   1950      0      0    430      6     23   2884 
