
#Trial: 0 for _gpu_2_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     54      -    13      2      0     15   6801   1950      0      0    430      6     30   3194 
    0     72     54      -    26      3      0     29   6801   1950      0      0    430      6     25   3058 
    0     74     54      -    44      5      0     50   6801   1950      0      0    430      6     25   3392 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     30   3421 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3286 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3191 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   2952 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3309 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     36   3334 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     53   3126 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     52   3169 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     51   2992 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   2796 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     32   2740 
    0     72     54      -    45      5      0     50   6801   1950      0      0    430      6     26   2785 

#Trial: 1 for _gpu_2_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     73     54      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     74     54      -    10      1      0     11   6801   1950      0      0    430      6     32   3298 
    0     72     54      -    29      4      0     33   6801   1950      0      0    430      6     25   2950 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3295 
    0     74     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3081 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   2995 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3193 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3270 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3044 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     29   2974 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     31   3296 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   2959 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     33   3412 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     50   2943 
    0     73     54      -    45      5      0     50   6801   1950      0      0    430      6     50   3160 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     49   3309 

#Trial: 2 for _gpu_2_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     54      -     7      1      0      7   6801   1950      0      0    430      6     36   3306 
    0     72     54      -    32      4      0     37   6801   1950      0      0    430      6     58   3387 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     53   3034 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     53   3191 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     31   2786 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     29   2740 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     32   2740 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   2853 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     25   2998 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3378 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3047 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   3089 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3131 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3043 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3421 

#Trial: 3 for _gpu_2_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     71     54      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     54      -     4      1      0      4   6801   1950      0      0    430      6     27   3187 
    0     72     54      -    35      4      0     40   6801   1950      0      0    430      6     28   3156 
    0     74     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3421 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     25   3193 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3049 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3265 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3220 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   3054 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   2966 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     31   3084 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     52   2988 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     51   3194 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     50   3076 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     35   2740 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     30   2740 

#Trial: 4 for _gpu_2_16_8
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
