
#Trial: 0 for _gpu_3_16_9
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     74     54      -    23      5      0     50   7000   1950      0      0      1      3      0      0 
    0     68     53      -     0      0      0      0   6801   1950      0      0    103      6     41    596 
    0     74     54      -    20      4      0     42   6801   1950      0      0    430      6     31   2625 
    0     74     54      -    24      5      0     50   6801   1950      0      0    430      6     29   2901 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     26   3422 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     26   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   2738 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     30   3421 
    0     74     54      -    24      5      0     50   6801   1950      0      0    430      6     29   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3421 
    0     75     54      -    24      5      0     50   6801   1950      0      0    430      6     27   2941 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     31   3267 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     28   3166 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     31   3251 
    0     75     54      -    24      5      0     50   6801   1950      0      0    430      6     26   3421 

#Trial: 1 for _gpu_3_16_9
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     75     54      -    23      5      0     48   7000   1950      0      0      1      3      0      0 
    0     70     53      -     0      0      0      0   7000   1950      0      0      1      3     12     25 
    0     73     54      -    18      4      0     38   6801   1950      0      0    430      6     27   2883 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     47   2947 
    0     74     54      -    24      5      0     50   6801   1950      0      0    430      6     47   3243 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     45   2850 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     26   3002 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     28   2740 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   2740 
    0     74     54      -    24      5      0     50   6801   1950      0      0    430      6     31   3326 
    0     75     54      -    23      5      0     50   6801   1950      0      0    430      6     26   2770 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     27   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     26   2792 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     28   3421 
    0     74     54      -    24      5      0     50   6801   1950      0      0    430      6     25   3229 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   3213 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     26   3092 

#Trial: 2 for _gpu_3_16_9
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     74     54      -    23      5      0     50   7000   1950      0      0      1      3      0      0 
    0     67     53      -     2      0      0      3   7000   1950      0      0      1      3     12     77 
    0     73     54      -    15      4      0     33   6801   1950      0      0    430      6     26   2840 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     48   2887 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     49   3421 
    0     73     54      -    24      5      0     50   6801   1950      0      0    430      6     46   3421 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     25   2740 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   2740 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     28   2740 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     30   3421 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     29   3295 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     27   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     26   2738 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     27   3308 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     27   2737 
    0     74     54      -    24      5      0     50   6801   1950      0      0    430      6     27   3226 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     27   3161 

#Trial: 3 for _gpu_3_16_9
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     73     54      -    23      5      0     50   7000   1950      0      0      1      3      0      0 
    0     70     53      -     4      1      0      8   7000   1950      0      0      1      3     12     77 
    0     74     54      -    13      3      0     28   6801   1950      0      0    430      6     27   2886 
    0     73     54      -    24      5      0     50   6801   1950      0      0    430      6     48   2852 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     49   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     46   3316 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   2740 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   2674 
    0     73     54      -    23      5      0     50   6801   1950      0      0    430      6     27   2853 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     27   2766 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     24   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     27   2804 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     28   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   3190 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     25   2795 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     28   3421 
    0     74     54      -    23      5      0     50   6801   1950      0      0    430      6     29   3421 

#Trial: 4 for _gpu_3_16_9
