
#Trial: 0 for _gpu_1_16_4
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     71     53      -    78      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     53      -    29      2      0     16   6801   1950      0      0    430      6     25   2632 
    0     72     53      -    75      5      0     44   6801   1950      0      0    430      6     51   2889 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     25   2861 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     25   2913 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     24   2825 
    0     73     53      -    80      5      0     46   6801   1950      0      0    430      6     33   2917 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     25   2920 
    0     73     54      -    80      5      0     46   6801   1950      0      0    430      6     26   2805 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     54   2738 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     22   2909 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     23   2823 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     26   2824 
    0     73     53      -    79      5      0     46   6801   1950      0      0    430      6     27   2911 
    0     73     54      -    79      5      0     46   6801   1950      0      0    430      6     27   2853 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     26   2851 
    0     73     53      -    79      5      0     46   6801   1950      0      0    430      6     51   2915 

#Trial: 1 for _gpu_1_16_4
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    79      5      0     46   7000   1950      0      0      1      3      0      0 
    0     72     53      -    26      2      0     15   6801   1950      0      0    430      6     42   3016 
    0     73     54      -    83      5      0     47   6801   1950      0      0    430      6     25   3008 
    0     72     53      -    83      5      0     47   6801   1950      0      0    430      6     52   2924 
    0     72     54      -    83      5      0     47   6801   1950      0      0    430      6     24   2894 
    0     73     54      -    81      5      0     46   6801   1950      0      0    430      6     24   2802 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     54   2882 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     23   2823 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     24   2896 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     26   2883 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     49   2890 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     27   2834 
    0     73     53      -    79      5      0     45   6801   1950      0      0    430      6     23   2893 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     26   2736 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     50   2888 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     21   2875 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     26   2900 

#Trial: 2 for _gpu_1_16_4
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     71     54      -    79      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     53      -    26      2      0     16   6801   1950      0      0    430      6     28   2873 
    0     73     53      -    80      5      0     45   6801   1950      0      0    430      6     24   2636 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     40   2736 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     23   2929 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     24   2905 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     42   2909 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     22   2930 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     27   2919 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     24   2804 
    0     73     54      -    79      5      0     46   6801   1950      0      0    430      6     28   2916 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     26   2737 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     25   2879 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     44   2912 
    0     73     53      -    80      5      0     46   6801   1950      0      0    430      6     28   2841 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     24   2875 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     24   2815 

#Trial: 3 for _gpu_1_16_4
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
