
#Trial: 0 for _gpu_1_16_3
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    78      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     54      -    35      2      0     21   6801   1950      0      0    430      6     23   2846 
    0     72     54      -    78      5      0     44   6801   1950      0      0    430      6     23   2831 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2862 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2833 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     25   2706 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     50   2932 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     22   2879 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2872 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     26   2886 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     27   2812 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     41   2874 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     23   2924 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     25   2737 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     50   2903 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     24   2852 
    0     73     54      -    79      5      0     46   6801   1950      0      0    430      6     25   2857 

#Trial: 1 for _gpu_1_16_3
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    78      5      0     44   7000   1950      0      0      1      3      0      0 
    0     72     54      -    37      2      0     22   6801   1950      0      0    430      6     26   2874 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     30   2806 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     24   2905 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     25   2856 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     46   2888 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     26   2865 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     24   2893 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     25   2740 
    0     73     54      -    80      5      0     46   6801   1950      0      0    430      6     38   2658 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     22   2878 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     23   2868 
    0     73     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2874 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     36   2862 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     29   2829 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     23   2853 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     25   2828 

#Trial: 2 for _gpu_1_16_3
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     53      -    78      5      0     45   7000   1950      0      0      1      3      0      0 
    0     72     54      -    42      3      0     25   6801   1950      0      0    430      6     27   2881 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     26   2910 
    0     73     54      -    79      5      0     46   6801   1950      0      0    430      6     25   2886 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     33   2906 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     26   2888 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     24   2738 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     24   2751 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     48   2861 
    0     72     53      -    79      5      0     46   6801   1950      0      0    430      6     26   2853 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     24   2908 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     26   2824 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     51   2832 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     23   2908 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     24   2882 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     24   2795 
    0     73     54      -    79      5      0     46   6801   1950      0      0    430      6     25   2890 

#Trial: 3 for _gpu_1_16_3
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     71     54      -    79      5      0     46   7000   1950      0      0      1      3      0      0 
    0     72     53      -    53      3      0     32   6801   1950      0      0    430      6     25   2845 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2841 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     24   2853 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     26   2757 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     48   2838 
    0     72     54      -    78      5      0     45   6801   1950      0      0    430      6     29   2904 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     23   2910 
    0     73     54      -    79      5      0     46   6801   1950      0      0    430      6     24   2823 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     55   2744 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     24   2757 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     24   2850 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     25   2832 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     26   2829 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     27   2840 
    0     73     53      -    79      5      0     45   6801   1950      0      0    430      6     23   2887 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     25   2899 

#Trial: 4 for _gpu_1_16_3
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     54      -    79      5      0     46   7000   1950      0      0      1      3      0      0 
    0     72     53      -    55      3      0     31   6801   1950      0      0    430      6     31   2940 
    0     72     53      -    63      4      0     37   6801   1950      0      0    430      6     28   2999 
    0     73     54      -    82      5      0     47   6801   1950      0      0    430      6     25   2956 
    0     72     53      -    83      5      0     48   6801   1950      0      0    430      6     25   3026 
    0     73     53      -    83      5      0     48   6801   1950      0      0    430      6     37   2990 
    0     72     54      -    80      5      0     46   6801   1950      0      0    430      6     23   2847 
    0     72     53      -    78      5      0     45   6801   1950      0      0    430      6     25   2909 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     27   2909 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     33   2820 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     27   2761 
    0     72     53      -    79      5      0     46   6801   1950      0      0    430      6     24   2741 
    0     72     54      -    79      5      0     46   6801   1950      0      0    430      6     24   2859 
    0     73     54      -    79      5      0     45   6801   1950      0      0    430      6     43   2873 
    0     72     54      -    79      5      0     45   6801   1950      0      0    430      6     25   2837 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     24   2896 
    0     72     53      -    79      5      0     45   6801   1950      0      0    430      6     24   2835 
