
#Trial: 0 for _gpu_2_16_7
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     73     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     72     53      -    11      1      0     12   6801   1950      0      0    430      6     53   3309 
    0     72     54      -    34      4      0     38   6801   1950      0      0    430      6     57   3233 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     50   3229 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   2657 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   2814 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3193 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   2966 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3194 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   3173 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     30   3256 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     25   3083 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3283 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3029 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3076 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3402 

#Trial: 1 for _gpu_2_16_7
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     72     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     71     53      -     2      0      0      2   6801   1950      0      0    430      6     29   3338 
    0     73     54      -    42      5      0     47   6801   1950      0      0    430      6     26   3193 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3408 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3113 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     47   3081 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     56   3191 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     46   2911 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     29   2774 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   2774 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     25   3194 
    0     72     54      -    45      5      0     50   6801   1950      0      0    430      6     26   3113 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   3156 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3234 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     25   3338 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3405 
    0     73     54      -    44      5      0     50   7000   1950      0      0     77      6     11 
#Trial: 2 for _gpu_2_16_7
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     69     53      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     53      -     6      1      0      7   6801   1950      0      0    430      6     25   3406 
    0     72     54      -    45      5      0     50   6801   1950      0      0    430      6     29   3360 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3036 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3410 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3407 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     32   3086 
    0     73     54      -    45      5      0     50   6801   1950      0      0    430      6     53   3032 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     55   3194 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     30   2740 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     31   2740 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   2777 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3423 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3070 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3005 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   2917 
    0     72     54      -    44      5      0     50   7000   1950      0      0      3      4 
#Trial: 3 for _gpu_2_16_7
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     70     54      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     72     54      -    30      4      0     34   6801   1950      0      0    430      6     52   3036 
    0     73     54      -    14      2      0     16   6801   1950      0      0    430      6     42   2739 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     30   2793 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   2741 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     25   3422 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3233 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   2981 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3019 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     28   3104 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     25   3022 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3306 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     30   3053 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     30   3306 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3176 
    0     72     54      -    45      5      0     50   6801   1950      0      0    430      6     28   3336 

#Trial: 4 for _gpu_2_16_7
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     70     54      -    44      5      0     50   7000   1950      0      0      1      3      0      0 
    0     73     54      -    22      3      0     24   6801   1950      0      0    430      6     24   3296 
    0     73     54      -    23      3      0     26   6801   1950      0      0    430      6     28   3193 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     29   3191 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3236 
    0     73     54      -    45      5      0     50   6801   1950      0      0    430      6     26   2997 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3262 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     28   3309 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     27   3167 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     26   3081 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     37   3421 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     47   3141 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     51   3404 
    0     73     54      -    44      5      0     50   6801   1950      0      0    430      6     44   3229 
    0     72     54      -    45      5      0     50   6801   1950      0      0    430      6     27   2740 
    0     72     54      -    44      5      0     50   6801   1950      0      0    430      6     27   2636 
