
#Trial: 0 for _gpu_2_16_1
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     23     33      -     0      0      0      0    405    300      0      0      1      3      0      0 
    0     67     38      -    19      2      0     28   6801   1995     33      0    430      6     45   3040 
    0     65     38      -    45      5      0     50   6801   1980      0      0    430      6     53   3422 
    0     65     38      -    45      5      0     50   6801   1980      0      0    430      6     27   3080 
    0     65     39      -    45      5      0     50   6801   1980      0      0    430      6     26   3117 
    0     65     39      -    45      5      0     50   6801   1980      0      0    430      6     25   3244 
    0     66     39      -    45      5      0     50   6801   1980      0      0    430      6     28   3421 
    0     66     39      -    45      5      0     50   6801   1980      0      0    430      6     29   3421 
    0     65     39      -    45      5      0     50   6801   1980      0      0    430      6     32   3404 
    0     66     39      -    45      5      0     50   6801   1980      0      0    430      6     25   3259 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     28   3076 
    0     65     40      -    45      5      0     50   6801   1980      0      0    430      6     32   3369 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     27   2939 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     28   2891 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     56   3324 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     49   3421 

#Trial: 1 for _gpu_2_16_1
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     66     40      -    45      5      0     50   7000   1980      0      0      1      3      0      1 
    0     66     40      -    33      4      0     36   6801   1980      0      0    430      6     28   3091 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     26   3138 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     28   3407 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     26   3318 
    0     66     40      -    45      5      0     50   6801   1980      0      0    430      6     30   3421 
    0     66     41      -    45      5      0     50   6801   1980      0      0    430      6     27   3083 
    0     67     41      -    45      5      0     50   6801   1980      0      0    430      6     26   3195 
    0     66     41      -    45      5      0     50   6801   1980      0      0    430      6     26   2783 
    0     66     41      -    45      5      0     50   6801   1980      0      0    430      6     27   2860 
    0     66     41      -    45      5      0     50   6801   1980      0      0    430      6     50   3395 
    0     67     41      -    45      5      0     50   6801   1980      0      0    430      6     49   3106 
    0     67     41      -    45      5      0     50   6801   1980      0      0    430      6     26   3193 
    0     66     41      -    45      5      0     50   6801   1980      0      0    430      6     28   3194 
    0     67     41      -    45      5      0     50   6801   1980      0      0    430      6     30   3421 
    0     67     41      -    45      5      0     50   6801   1980      0      0    288      6     13 
#Trial: 2 for _gpu_2_16_1
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     64     41      -    44      5      0     49   7000   1980      0      0      1      3      2      0 
    0     67     41      -    34      4      0     37   6801   1980      0      0    430      6     32   3144 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     27   3200 
    0     68     42      -    45      5      0     50   6801   1980      0      0    430      6     30   3265 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     27   3252 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     26   3157 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     31   3273 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     30   3423 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     31   3351 
    0     68     42      -    45      5      0     50   6801   1980      0      0    430      6     30   3071 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     28   2882 
    0     67     42      -    45      5      0     50   6801   1980      0      0    430      6     31   3039 
    0     68     43      -    45      5      0     50   6801   1980      0      0    430      6     53   3136 
    0     68     43      -    45      5      0     50   6801   1980      0      0    430      6     37   3191 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     27   3422 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     44      8 

#Trial: 3 for _gpu_2_16_1
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     66     43      -    45      5      0     50   7000   1965      0      0      1      3      0      0 
    0     67     43      -    41      5      0     46   6801   1965      0      0    430      6     27   3109 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     25   3309 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     26   3124 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     27   3081 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     27   3137 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     30   3214 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     28   3076 
    0     67     43      -    45      5      0     50   6801   1965      0      0    430      6     29   3139 
    0     68     44      -    45      5      0     50   6801   1965      0      0    430      6     27   3015 
    0     68     44      -    45      5      0     50   6801   1965      0      0    430      6     27   3422 
    0     68     44      -    45      5      0     50   6801   1965      0      0    430      6     29   3103 
    0     67     44      -    45      5      0     50   6801   1965      0      0    430      6     31   3320 
    0     68     44      -    45      5      0     50   6801   1965      0      0    430      6     26   2997 
    0     67     44      -    45      5      0     50   6801   1965      0      0    430      6     26   3292 
    0     67     44      -    45      5      0     50   6801   1965      0      0    430      6     27   3067 

#Trial: 4 for _gpu_2_16_1
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec   mclk   pclk  pviol  tviol     fb   bar1  rxpci  txpci 
# Idx      W      C      C      %      %      %      %    MHz    MHz      %   bool     MB     MB   MB/s   MB/s 
    0     68     44      -    45      5      0     50   7000   1965      0      0      1      3      7      6 
    0     68     44      -    35      4      0     38   6801   1965      0      0    430      6     27   3390 
    0     68     44      -    45      5      0     50   6801   1965      0      0    430      6     26   3292 
    0     68     44      -    45      5      0     50   6801   1965      0      0    430      6     28   3194 
    0     68     44      -    45      5      0     50   6801   1965      0      0    430      6     29   3309 
    0     68     45      -    45      5      0     50   6801   1965      0      0    430      6     26   3069 
    0     68     45      -    45      5      0     50   6801   1965      0      0    430      6     27   3422 
    0     68     45      -    45      5      0     50   6801   1965      0      0    430      6     27   3366 
    0     68     45      -    45      5      0     50   6801   1965      0      0    430      6     26   3422 
    0     68     45      -    45      5      0     50   6801   1965      0      0    430      6     30   3197 
    0     69     45      -    45      5      0     50   6801   1965      0      0    430      6     29   3120 
    0     68     45      -    45      5      0     50   6801   1965      0      0    430      6     25   3192 
    0     69     45      -    45      5      0     50   6801   1965      0      0    430      6     26   3286 
    0     68     45      -    45      5      0     50   6801   1965      0      0    430      6     26   3058 
    0     69     45      -    45      5      0     50   6801   1965      0      0    430      6     27   3404 
    0     69     45      -    45      5      0     50   6801   1965      0      0    430      6     27   3173 
